epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,393.977,2.05099,4.79791,1.65175,0.37671,0.26531,0.17874,0.05918,2.198,2.61916,1.69884,0.0712,0.0032,0.0032
2,818.907,1.80194,1.66146,1.40571,0.47578,0.02721,0.02824,0.01382,2.54107,4.15358,1.9932,0.0414746,0.00647463,0.00647463
3,1233.73,1.76727,1.83926,1.34529,0.40319,0.47619,0.36971,0.13684,2.13868,2.11685,1.52677,0.0116476,0.0096476,0.0096476
4,1632.94,1.76229,1.57203,1.38736,0.76878,0.47619,0.5408,0.22483,2.11244,2.00404,1.60209,0.00965239,0.00965239,0.00965239
5,2030.35,1.76856,1.41873,1.35766,0.48798,0.51867,0.44971,0.17611,2.12796,1.92805,1.6417,0.00938772,0.00938772,0.00938772
6,2414.23,1.73218,1.37304,1.33534,0.57258,0.57143,0.55923,0.25417,1.86191,1.55763,1.42902,0.00905463,0.00905463,0.00905463
7,2856.49,1.70309,1.2364,1.29519,0.63472,0.35374,0.3893,0.16696,2.08921,1.94032,1.65081,0.00865839,0.00865839,0.00865839
8,3327.26,1.71797,1.25608,1.29632,0.49158,0.42857,0.43311,0.17335,2.09981,1.8226,1.64294,0.00820525,0.00820525,0.00820525
9,3803.45,1.69505,1.23918,1.30627,0.31926,0.31293,0.25113,0.10827,2.40048,2.26506,1.70237,0.00770234,0.00770234,0.00770234
